Channel,Time,Voltage
6,63,-0.101566
6,64,-0.0959779
6,65,-0.106826
6,66,-0.0874306
6,67,-0.0917043
6,68,-0.108799
6,69,-0.113401
6,70,-0.110114
6,71,-0.106169
6,72,-0.0976216
6,73,-0.0848007
6,74,-0.0949917
6,75,-0.10584
6,76,-0.110771
6,77,-0.099594
7,0,1.56481
7,1,1.6368
7,2,1.51846
7,3,1.30577
7,4,1.04771
7,5,0.831067
7,6,0.521066
7,7,0.230789
7,8,0.157809
7,9,0.236707
7,10,0.208106
7,11,0.165699
7,12,0.0963349
7,13,0.0480102
7,14,0.047024
7,15,0.0289433
7,16,-0.00623189
7,17,0.0207248
7,18,0.01415
7,19,0.0263133
7,20,0.0148075
7,21,-0.0318736
7,22,-0.00787559
7,23,-0.00886181
7,24,0.00330156
7,25,-0.00195828
7,26,-0.0128067
7,27,-0.011163
7,28,-0.00754685
7,29,0.0144787
7,30,0.0361755
7,31,0.0226972
7,32,0.0121775
7,33,0.00987636
7,34,0.0263133
7,35,0.0105338
7,36,0.00987636
7,37,-0.0124779
7,38,-0.0210252
7,39,0.00724644
7,40,-0.00984803
7,41,-0.00623189
7,42,-0.0137929
7,43,-0.0177378
7,44,-0.0183953
7,45,-0.0141216
7,46,-0.0154366
7,47,0.00428778
7,48,-0.00360197
7,49,-0.0269425
7,50,-0.0239838
7,51,0.00954762
7,52,0.00987636
7,53,0.00724644
7,54,0.00165786
7,55,-0.0233264
7,56,-0.0147791
7,57,0.0164512
7,58,0.0085614
7,59,0.000671643
7,60,0.021711
7,61,-0.0029445
7,62,0.0105338
7,63,0.0194098
7,64,0.00987636
7,65,0.00428778
7,66,-0.0190527
7,67,-0.00491693
7,68,-0.0118205
7,69,-0.00754685
7,70,-0.00327323
7,71,0.00297282
7,72,0.0069177
7,73,-0.0177378
7,74,0.0115201
7,75,0.021711
7,76,-0.0114917
7,77,-0.0154366
